element_start,altar_of_hope,Rules
m_MemoryLootTableIds,MEMORIES_TABLE,MEMORIES_TABLE,MEMORIES_TABLE_2,MEMORIES_TABLE_3,MEMORIES_TABLE_4,MEMORIES_TABLE_5,
m_SkipIntroProfileValueType,candles,
m_SkipIntroProfileValue,12,
m_MaxRerollInventory,3,
repeatable_item,trinket,repeatable_items_trinkets,repeatable_trinket_cost_0,repeatable_trinket_cost_1,repeatable_trinket_cost_2,
repeatable_item,combat,repeatable_items_combat,repeatable_combat_cost_0,repeatable_combat_cost_1,repeatable_combat_cost_2,repeatable_combat_cost_3,repeatable_combat_cost_4,repeatable_combat_cost_5,repeatable_combat_cost_6,
repeatable_item,stage_coach_upgrade,repeatable_items_stagecoach,repeatable_stage_coach_upgrade_cost_0,repeatable_stage_coach_upgrade_cost_1,repeatable_stage_coach_upgrade_cost_2,
repeatable_item,rest,repeatable_items_rest,repeatable_rest_cost_0,repeatable_rest_cost_1,repeatable_rest_cost_2,repeatable_rest_cost_3,repeatable_rest_cost_4,repeatable_rest_cost_5,repeatable_rest_cost_6,
repeatable_item,memory_reroll,unused_but_has_to_have_a_value_or_it_wont_parse_correctly,repeatable_memory_reroll_cost_0,repeatable_memory_reroll_cost_1,repeatable_memory_reroll_cost_2,repeatable_memory_reroll_cost_3,
element_end
element_start,repeatable_trinket_cost_0,Cost
m_ProfileValueType,candles,
m_ProfileValue,16,
element_end
element_start,repeatable_trinket_cost_1,Cost
m_ProfileValueType,candles,
m_ProfileValue,24,
element_end
element_start,repeatable_trinket_cost_2,Cost
m_ProfileValueType,candles,
m_ProfileValue,32,
element_end
element_start,repeatable_combat_cost_0,Cost
m_ProfileValueType,candles,
m_ProfileValue,4,
element_end
element_start,repeatable_combat_cost_1,Cost
m_ProfileValueType,candles,
m_ProfileValue,6,
element_end
element_start,repeatable_combat_cost_2,Cost
m_ProfileValueType,candles,
m_ProfileValue,8,
element_end
element_start,repeatable_combat_cost_3,Cost
m_ProfileValueType,candles,
m_ProfileValue,12,
element_end
element_start,repeatable_combat_cost_4,Cost
m_ProfileValueType,candles,
m_ProfileValue,16,
element_end
element_start,repeatable_combat_cost_5,Cost
m_ProfileValueType,candles,
m_ProfileValue,20,
element_end
element_start,repeatable_combat_cost_6,Cost
m_ProfileValueType,candles,
m_ProfileValue,24,
element_end
element_start,repeatable_stage_coach_upgrade_cost_0,Cost
m_ProfileValueType,candles,
m_ProfileValue,16,
element_end
element_start,repeatable_stage_coach_upgrade_cost_1,Cost
m_ProfileValueType,candles,
m_ProfileValue,24,
element_end
element_start,repeatable_stage_coach_upgrade_cost_2,Cost
m_ProfileValueType,candles,
m_ProfileValue,32,
element_end
element_start,repeatable_rest_cost_0,Cost
m_ProfileValueType,candles,
m_ProfileValue,4,
element_end
element_start,repeatable_rest_cost_1,Cost
m_ProfileValueType,candles,
m_ProfileValue,6,
element_end
element_start,repeatable_rest_cost_2,Cost
m_ProfileValueType,candles,
m_ProfileValue,8,
element_end
element_start,repeatable_rest_cost_3,Cost
m_ProfileValueType,candles,
m_ProfileValue,12,
element_end
element_start,repeatable_rest_cost_4,Cost
m_ProfileValueType,candles,
m_ProfileValue,16,
element_end
element_start,repeatable_rest_cost_5,Cost
m_ProfileValueType,candles,
m_ProfileValue,20,
element_end
element_start,repeatable_rest_cost_6,Cost
m_ProfileValueType,candles,
m_ProfileValue,24,
element_end
element_start,repeatable_memory_reroll_cost_0,Cost
m_ProfileValueType,candles,
m_ProfileValue,4,
element_end
element_start,repeatable_memory_reroll_cost_1,Cost
m_ProfileValueType,candles,
m_ProfileValue,8,
element_end
element_start,repeatable_memory_reroll_cost_2,Cost
m_ProfileValueType,candles,
m_ProfileValue,16,
element_end
element_start,repeatable_memory_reroll_cost_3,Cost
m_ProfileValueType,candles,
m_ProfileValue,32,
element_end
