element_start,coven_mothers_mushroom,ActorDataClass
m_Tags,monster,necrotic_fungus,matres_mushroom,boss,
m_Size,1,
m_IsTickTriggerValid,True,
m_IsStressTriggerValid,True,
m_ResistAlwaysIds,stun,
m_IsBattleComplete,True,
m_IsStallCounted,True,
m_ClearContainerTypes,BuffContainer,TokenContainer,DotContainer,
element_end
element_start,coven_mothers_mushroom,ActorDataStats
key_map,health_max,speed,speed_number_of_turns,
add_stats,18,0,0,
sub_stat,resistance,stun,2,
sub_stat,resistance,blight,0.5,
sub_stat,resistance,bleed,0.75,
sub_stat,resistance,burn,0.1,
sub_stat,resistance,disease,0.1,
sub_stat,resistance,move,0.3,
sub_stat,resistance,debuff,0.1,
sub_stat,resistance,death,0,
element_end
element_start,coven_mothers_mushroom,ActorDataEffects
spawn_effects,necrotic_fungus_fake_tooltip_e,move_backward_3,mothers_mushroom_regen_copy_fake_tooltip_e,
change_class_effects,necrotic_fungus_fake_tooltip_e,move_backward_3,mothers_mushroom_regen_copy_fake_tooltip_e,
turn_skip_effects,stun_temp_resist_buff_e,
actor_effect_triggers,coven_mushroom_heal_block_aet,coven_mushroom_death_aet,mothers_mushroom_death_aet,
element_end
