element_start,herostory_abm_1_apothecary_table,ActorDataClass
m_Tags,hero_story,
m_Size,2,
m_IsTickTriggerValid,True,
m_IsBattleComplete,True,
m_IsStallInvalidating,True,
element_end
element_start,herostory_abm_1_apothecary_table,ActorDataStats
key_map,health_max,speed,speed_number_of_turns,
add_stats,5,0,0,
sub_stat,resistance,stun,0.1,
sub_stat,resistance,blight,0.1,
sub_stat,resistance,bleed,0.1,
sub_stat,resistance,burn,0.1,
sub_stat,resistance,disease,0.1,
sub_stat,resistance,move,0.1,
sub_stat,resistance,debuff,0.1,
sub_stat,resistance,death,0,
element_end
