element_start,abomination,UnlockTrack
m_ProgressGroupId,dlc,
unlocks,abomination_1,abomination_2,abomination_3,abomination_4,abomination_5,abomination_6,abomination_7,abomination_8,abomination_9,abomination_10,abomination_11,abomination_12,abomination_13,
element_end
element_start,abomination_1,Unlock
element_end
element_start,abomination_1,Cost
m_ProfileValueType,candles,
m_ProfileValue,2,
element_end
element_start,abomination_2,Unlock
element_end
element_start,abomination_2,Cost
m_ProfileValueType,candles,
m_ProfileValue,2,
element_end
element_start,abomination_3,Unlock
element_end
element_start,abomination_3,Cost
m_ProfileValueType,candles,
m_ProfileValue,2,
element_end
element_start,abomination_4,Unlock
element_end
element_start,abomination_4,Cost
m_ProfileValueType,candles,
m_ProfileValue,2,
element_end
element_start,abomination_5,Unlock
element_end
element_start,abomination_5,Cost
m_ProfileValueType,candles,
m_ProfileValue,3,
element_end
element_start,abomination_6,Unlock
element_end
element_start,abomination_6,Cost
m_ProfileValueType,candles,
m_ProfileValue,3,
element_end
element_start,abomination_7,Unlock
element_end
element_start,abomination_7,Cost
m_ProfileValueType,candles,
m_ProfileValue,3,
element_end
element_start,abomination_8,Unlock
element_end
element_start,abomination_8,Cost
m_ProfileValueType,candles,
m_ProfileValue,3,
element_end
element_start,abomination_9,Unlock
element_end
element_start,abomination_9,Cost
m_ProfileValueType,candles,
m_ProfileValue,5,
element_end
element_start,abomination_10,Unlock
element_end
element_start,abomination_10,Cost
m_ProfileValueType,candles,
m_ProfileValue,5,
element_end
element_start,abomination_11,Unlock
element_end
element_start,abomination_11,Cost
m_ProfileValueType,candles,
m_ProfileValue,5,
element_end
element_start,abomination_12,Unlock
element_end
element_start,abomination_12,Cost
m_ProfileValueType,candles,
m_ProfileValue,8,
element_end
element_start,abomination_13,Unlock
element_end
element_start,abomination_13,Cost
m_ProfileValueType,candles,
m_ProfileValue,10,
element_end
