element_start,herostory_cru_2_warlord_spared,ActorDataClass
m_Tags,corpse,monster,
m_Size,2,
m_IsTickTriggerValid,False,
m_IgnoredSkillAttributeTypes,TOKEN_ADD,BUFF_ADD,QUIRK_ADD,
m_IsBattleComplete,True,
m_IsStallCounted,True,
m_TokenViewValid,False,
m_ClearContainerTypes,BuffContainer,TokenContainer,DotContainer,
element_end
element_start,herostory_cru_2_warlord_spared,ActorDataStats
key_map,health_max,speed,speed_number_of_turns,
add_stats,20,0,0,
sub_stat,resistance,stun,0.1,
sub_stat,resistance,blight,0.1,
sub_stat,resistance,bleed,0.1,
sub_stat,resistance,burn,0.1,
sub_stat,resistance,disease,0.1,
sub_stat,resistance,move,0.1,
sub_stat,resistance,debuff,0.1,
sub_stat,resistance,death,0,
element_end
