element_start,herostory_cru_combat_1_crop3,ActorDataClass
m_Tags,cru_crop,
m_Size,1,
m_IsTickTriggerValid,True,
m_IsStallCounted,True,
m_TokenViewValid,False,
element_end
element_start,herostory_cru_combat_1_crop3,ActorDataStats
key_map,health_max,speed,speed_number_of_turns,
add_stats,1,0,0,
sub_stat,resistance,stun,0,
sub_stat,resistance,blight,0,
sub_stat,resistance,bleed,0,
sub_stat,resistance,burn,0,
sub_stat,resistance,disease,0,
sub_stat,resistance,move,0,
sub_stat,resistance,debuff,0,
sub_stat,resistance,death,0,
element_end
element_start,herostory_cru_combat_1_crop3,ActorDataEffects
round_start_effects,health_damage_1_not_round_1,
element_end
