element_start,herostory_cru_combat_1_space,ActorDataClass
m_Size,1,
m_IsTickTriggerValid,True,
m_ResistAlwaysIds,stun,blight,bleed,burn,disease,move,debuff,
m_IsHealthless,True,
m_IsStallCounted,True,
m_TokenViewValid,False,
element_end
element_start,herostory_cru_combat_1_space,ActorDataStats
key_map,health_max,speed,speed_number_of_turns,
add_stats,1,0,0,
sub_stat,resistance,stun,2,
sub_stat,resistance,blight,2,
sub_stat,resistance,bleed,2,
sub_stat,resistance,burn,2,
sub_stat,resistance,disease,2,
sub_stat,resistance,move,2,
sub_stat,resistance,debuff,2,
sub_stat,resistance,death,0,
element_end
