element_start,herostory_cru_combat_2_tree,ActorDataClass
m_Size,1,
m_IsTickTriggerValid,True,
m_ResistAlwaysIds,stun,blight,bleed,burn,
m_IsBattleComplete,True,
m_IsStallCounted,True,
m_TokenViewValid,False,
m_IsCombatHoverable,False,
element_end
element_start,herostory_cru_combat_2_tree,ActorDataStats
key_map,health_max,speed,speed_number_of_turns,
add_stats,15,0,0,
sub_stat,resistance,stun,2,
sub_stat,resistance,blight,2,
sub_stat,resistance,bleed,2,
sub_stat,resistance,burn,2,
sub_stat,resistance,disease,0.1,
sub_stat,resistance,move,1,
sub_stat,resistance,debuff,0.1,
sub_stat,resistance,death,0,
element_end
