element_start,herostory_dul_1_training_dummy,ActorDataClass
m_Size,1,
m_IsTickTriggerValid,True,
m_IsStallCounted,True,
element_end
element_start,herostory_dul_1_training_dummy,ActorDataStats
key_map,health_max,speed,speed_number_of_turns,
add_stats,99,0,0,
sub_stat,resistance,stun,1,
sub_stat,resistance,blight,1,
sub_stat,resistance,bleed,1,
sub_stat,resistance,burn,1,
sub_stat,resistance,disease,0.1,
sub_stat,resistance,move,1,
sub_stat,resistance,debuff,0.1,
sub_stat,resistance,death,0,
element_end
element_start,herostory_dul_1_training_dummy,ActorDataEffects
combat_health_damage_friendly_team_effects,add_1_logic_a,
combat_health_damage_enemy_team_effects,count_plus_1,
element_end
