element_start,driving,Rules
m_chanceOfRelationshipShift,0.5,
m_chanceOfStress,0.5,
m_relationshipChanceOfStress,0.4,
m_chanceOfSeatShift,0,
m_relationshipChanceOfSeatShift,0,
m_minPositiveLeaning,4,
m_maxNegativeLeaning,-4,
m_banterStressChange,1,
m_farSideRoadEventDistRatio,0.95,
m_sideRoadEventDistRatio,0.475,
m_roadEventRandomizationOffsetRatio,0.05,
m_heroReplacementMinDist,2,
m_heroReplacementMaxDist,5,
m_highThreatQty,1,
m_maxHealCost,16,
m_biomeBossTag,biome_boss,
m_endBossTag,end_boss,
m_betweenNodeBeforeNodePercentage,0.75,
m_betweenNodeAfterNodePercentage,0.25,
m_betweenNodeMinPercentage,0.1,
m_betweenNodeMaxPercentage,0.9,
m_betweenNodeDeltaPercentage,0.4,
route_choice_wanted_effects,stress_heal_1,
route_choice_unwanted_effects,stress_damage_1,
m_nodeExitBarkChance,0.5,
m_nodeExitBarkDelaySeconds,1.8,
m_banterTickTriggerChance,0.5,
m_banterTickTriggerLimit,2,
m_NodeExecuteLootIds,candles_one,
node_doom_effects,doom_damage_1,
element_end
