element_start,herostory_gr_combat_1_liquor_cabinet,ActorDataClass
m_Tags,liquor_cabinet,
m_Size,1,
m_IsTickTriggerValid,True,
m_IsStressTriggerValid,True,
m_DeathChainIds,herostory_gr_combat_1_husband,
m_IsStallCounted,True,
element_end
element_start,herostory_gr_combat_1_liquor_cabinet,ActorDataStats
key_map,health_max,speed,speed_number_of_turns,
add_stats,76,4,0,
sub_stat,resistance,stun,1,
sub_stat,resistance,blight,1,
sub_stat,resistance,bleed,1,
sub_stat,resistance,burn,1,
sub_stat,resistance,disease,1,
sub_stat,resistance,move,1,
sub_stat,resistance,debuff,1,
sub_stat,resistance,death,0.15,
element_end
