element_start,herostory_jes_combat_2_note_b_sq2,ActorDataClass
m_Tags,note_sequence_2_b,
m_Size,1,
m_IsTickTriggerValid,True,
m_IsStressTriggerValid,True,
m_RankTags,0,sweet_spot,2,sweet_spot,
m_IsStallCounted,True,
element_end
element_start,herostory_jes_combat_2_note_b_sq2,ActorDataStats
key_map,health_max,speed,speed_number_of_turns,
add_stats,10,4,0,
sub_stat,resistance,stun,0.2,
sub_stat,resistance,blight,0.2,
sub_stat,resistance,bleed,0.2,
sub_stat,resistance,burn,0.2,
sub_stat,resistance,disease,0.2,
sub_stat,resistance,move,0.2,
sub_stat,resistance,debuff,0.2,
sub_stat,resistance,death,0.15,
element_end
