element_start,herostory_run_combat_1_pillar_1,ActorDataClass
m_Size,1,
m_IsTickTriggerValid,True,
m_IsStressTriggerValid,True,
m_IsBattleComplete,True,
m_IsHealthless,True,
m_IsStallCounted,True,
element_end
element_start,herostory_run_combat_1_pillar_1,ActorDataStats
key_map,health_max,speed,speed_number_of_turns,
add_stats,75,4,0,
sub_stat,resistance,stun,0.2,
sub_stat,resistance,blight,0.2,
sub_stat,resistance,bleed,0.2,
sub_stat,resistance,burn,0.2,
sub_stat,resistance,disease,0.2,
sub_stat,resistance,move,0.2,
sub_stat,resistance,debuff,0.2,
sub_stat,resistance,death,0.15,
element_end
