element_start,beastmen_hero_76-100,TorchLevel
m_Tags,hero,
m_TorchMin,76,
m_TorchMax,100,
element_end
element_start,beastmen_hero_76-100,ActorDataExternalBuffs
buffs,gen_buff_stress_res_6pct,
element_end
element_start,beastmen_hero_51-75,TorchLevel
m_Tags,hero,
m_TorchMin,51,
m_TorchMax,75,
element_end
element_start,beastmen_hero_51-75,ActorDataExternalBuffs
buffs,gen_buff_stress_res_3pct,
element_end
element_start,beastmen_hero_26-50,TorchLevel
m_Tags,hero,
m_TorchMin,26,
m_TorchMax,50,
element_end
element_start,beastmen_hero_26-50,ActorDataExternalBuffs
buffs,gen_debuff_deathblow_res_3pct,
element_end
element_start,beastmen_hero_1-25,TorchLevel
m_Tags,hero,
m_TorchMin,1,
m_TorchMax,25,
element_end
element_start,beastmen_hero_1-25,ActorDataEffects
round_start_effects,torch_add_1_blind_lvl1,
element_end
element_start,beastmen_hero_1-25,ActorDataExternalBuffs
buffs,gen_buff_crit_3pct,gen_debuff_deathblow_res_6pct,
element_end
element_start,beastmen_hero_0,TorchLevel
m_Tags,hero,
m_TorchMin,0,
m_TorchMax,0,
element_end
element_start,beastmen_hero_0,ActorDataEffects
round_start_effects,torch_add_1_blind_lvl2,
element_end
element_start,beastmen_hero_0,ActorDataExternalBuffs
buffs,gen_buff_crit_6pct,gen_debuff_deathblow_res_9pct,
element_end
element_start,beastmen_monster_76-100,TorchLevel
m_Tags,monster,
m_TorchMin,76,
m_TorchMax,100,
element_end
element_start,beastmen_monster_76-100,ActorDataEffects
round_start_effects,torch_add_1_blind_lvl2,
element_end
element_start,beastmen_monster_51-75,TorchLevel
m_Tags,monster,
m_TorchMin,51,
m_TorchMax,75,
element_end
element_start,beastmen_monster_51-75,ActorDataEffects
round_start_effects,torch_add_1_blind_lvl1,
element_end
element_start,beastmen_monster_26-50,TorchLevel
m_Tags,monster,
m_TorchMin,26,
m_TorchMax,50,
element_end
element_start,beastmen_monster_26-50,RunDataStats
key_map,battle_modifier_chance,
add_stats,0.15,
element_end
element_start,beastmen_monster_1-25,TorchLevel
m_Tags,monster,
m_TorchMin,1,
m_TorchMax,25,
element_end
element_start,beastmen_monster_1-25,ActorDataEffects
round_start_effects,torch_add_1_strength_lvl1,
element_end
element_start,beastmen_monster_1-25,RunDataStats
key_map,battle_modifier_chance,
add_stats,0.33,
element_end
element_start,beastmen_monster_0,TorchLevel
m_Tags,monster,
m_TorchMin,0,
m_TorchMax,0,
element_end
element_start,beastmen_monster_0,ActorDataEffects
round_start_effects,torch_add_1_strength_lvl2,
element_end
element_start,beastmen_monster_0,RunDataStats
key_map,battle_modifier_chance,
add_stats,1,
element_end
