element_start,stress_heal_on_my_crit,StressTrigger
m_Type,crit,
m_RoleType,PERFORMER,
m_Stress,-1,
m_Chance,0.5,
element_end
element_start,stress_heal_on_my_ally_crit,StressTrigger
m_Type,crit,
m_RoleType,OBSERVING_PERFORMER,
m_Stress,-1,
m_Chance,0.05,
element_end
element_start,on_crit,StressTrigger
m_Type,crit,
m_RoleType,TARGET,
m_Stress,1,
m_Chance,0.8,
element_end
element_start,on_ally_crit,StressTrigger
m_Type,crit,
m_RoleType,OBSERVING_TARGET,
m_Stress,1,
m_Chance,0.15,
element_end
element_start,on_deaths_door,StressTrigger
m_Type,deaths_door,
m_RoleType,PERFORMER,
m_Stress,1,
m_Chance,0.5,
element_end
element_start,on_ally_deaths_door,StressTrigger
m_Type,deaths_door,
m_RoleType,OBSERVING_PERFORMER,
m_Stress,1,
m_Chance,0.25,
element_end
element_start,on_ally_death,StressTrigger
m_Type,death,
m_RoleType,OBSERVING_PERFORMER,
m_Stress,1,
m_Chance,1,
element_end
